,,,,,,,,,,,,Pitch,Rhythm,Stress,Emphasis,Tempo,Volume,Censorship,Spelling,Alternant,Differentiator,Alphahaptics,Alphakinesics,Formatting,Tactile_Emoticon,Bodily_Emoticon,Nonbodily_Emoticon,Tactile_Emoji,Bodily_Emoji,Nonbodily_Emoji,Emoji_Count,Emoji_Index,Emoticon_Index,TPL_Index
41,2019-12-03 16:00:00,We’re feeling saucy this week.\n\nGet your free 8-count bone-out wings today with the online purchase of a $7.99 large 2-topping pizza from @PizzaHut and #TMobileTuesdays.\n\n📲: https://t.co/SdEqaj7rXo https://t.co/cj5ymvMiI9,207,5,24,47,T-Mobile,1488892,12594,0.6142857142857143,0.30714285714285716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,1.0,1.0,0,1.0
42,2019-12-03 11:00:00,"For #GivingTuesday, help us put food on more tables over the holiday season. \n\nFor every RT of this post, we’ll make a donation to help @FeedingAmerica provide 10 meals* to families in need. #GivingOnUs\n\n📲: https://t.co/UwVsfEJewL https://t.co/3dOs6W58Vq",5618,1423,2089,20233,T-Mobile,1488892,12594,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,1,1.0,1.0,0,5.0
43,2019-12-02 23:00:00,"This #GivingTuesday, we’re teaming up with @FeedingAmerica to help put food on more tables.\n\nCheck our Twitter tomorrow to see how you can help us provide up to 5 MILLION meals* for families in need. #GivingOnUs https://t.co/aP3l2DaFGX",154,5,9,74,T-Mobile,1488892,12594,0.5,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,1.0
44,2019-12-02 16:00:00,You’ll have to excuse our Nationwide 5G map. It gets a little excited sometimes. The largest Nationwide 5G is here! https://t.co/0LUBZE5wBQ,319,6,63,76,T-Mobile,1488892,12594,0.43333333333333335,0.07708333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
45,2019-12-02 15:00:00,Nationwide 5G for 200 million people in 5000 cities and towns is going live…right...NOW! https://t.co/89M0ZeUJuE,755,43,96,209,T-Mobile,1488892,12594,0.0,0.0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,3.0
46,2019-12-01 23:00:00,"ATTN LA AREA: We're giving away 10 tickets to the @Netflix premier of #WitcherNetflix! Come to the @TMOSantaMonica store from 4-6pm on 12/2 &amp; ask @nazperezz about 5G in the Northern Kingdoms to win. \n\nNo purch. nec. US/DC/PR 18+, 12/02/19 only. Rules: https://t.co/oZ7eZBiZeI https://t.co/loLH1XlWSv",118,6,14,26,T-Mobile,1488892,12594,0.7,0.4,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,3.0
47,2019-11-28 20:08:39,"If turkeys could call each other today would it sound like?\n\n🦃: How's it going?\n🦃: Sweet, I'm getting basted.\n\n#HappyThanksgiving",8,8,6,1,T-Mobile,1488892,12594,0.47500000000000003,0.20833333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2,2.0,2.0,0,2.0
48,2019-11-28 18:00:01,"If turkeys could call each other today would it sound like?\n\n🦃: Mom, what are you thankful for?\n🦃: That we're still here.\n\nHappy #Thanksgiving",248,10,22,25,T-Mobile,1488892,12594,0.3875,0.1375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2,2.0,2.0,0,2.0
49,2019-11-27 20:23:51,Meet some of the 3400 network engineers we’ve hired to roll out America’s first #Nationwide5G.,218,3,27,50,T-Mobile,1488892,12594,0.3333333333333333,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
50,2019-11-26 19:00:06,Best part of Thanksgiving?,74,1,34,17,T-Mobile,1488892,12594,0.3,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0,1.0
